
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.5 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.172.70.70:3000
- Environments: .env.local

✓ Starting...
✓ Ready in 1675ms
 GET / 200 in 1941ms (compile: 1472ms, render: 468ms)
 GET / 200 in 222ms (compile: 23ms, render: 200ms)
 GET / 200 in 373ms (compile: 8ms, render: 364ms)
 GET /?timeframe=7d 200 in 69ms (compile: 15ms, render: 54ms)
 GET / 200 in 364ms (compile: 15ms, render: 349ms)
 GET / 200 in 263ms (compile: 17ms, render: 245ms)
 GET / 200 in 115ms (compile: 23ms, render: 92ms)
 GET /?timeframe=7d 200 in 22ms (compile: 5ms, render: 17ms)
 GET /?timeframe=30d 200 in 29ms (compile: 8ms, render: 21ms)
 GET /?timeframe=today 200 in 19ms (compile: 4ms, render: 15ms)
 GET /?timeframe=today&view=trends 200 in 26ms (compile: 6ms, render: 20ms)
 GET /?timeframe=today&view=trends&persona=builders 200 in 28ms (compile: 7ms, render: 21ms)
 GET /?timeframe=today&view=trends&persona=builders&category=Models%2CRAG+%26+Agents 200 in 24ms (compile: 6ms, render: 18ms)
 GET /?timeframe=today&view=trends&persona=builders&category=Papers 200 in 25ms (compile: 6ms, render: 18ms)
 GET /?timeframe=today&view=trends&persona=builders&category=Open+Source 200 in 25ms (compile: 6ms, render: 19ms)
 GET /?timeframe=today&view=trends&persona=executors 200 in 26ms (compile: 6ms, render: 20ms)
 GET /?timeframe=today&view=trends&persona=executors&category=Markets%2CStrategy 200 in 25ms (compile: 7ms, render: 19ms)
 GET /?timeframe=today&view=trends&persona=executors 200 in 33ms (compile: 6ms, render: 27ms)
 GET /?timeframe=today&view=trends&persona=executors&category=Enterprise%2CIndustry 200 in 25ms (compile: 7ms, render: 18ms)
 GET /?timeframe=today&view=trends&persona=executors&category=Startups 200 in 27ms (compile: 7ms, render: 20ms)
 GET /?timeframe=today&view=trends&persona=executors&category=Compute 200 in 25ms (compile: 6ms, render: 20ms)
 GET /?timeframe=today&view=trends&persona=executors&category=Compute 200 in 24ms (compile: 6ms, render: 18ms)
 GET /?timeframe=today&view=trends&persona=explorers 200 in 25ms (compile: 6ms, render: 19ms)
 GET /?timeframe=today&view=trends&persona=explorers&category=AGI+%26+Future 200 in 25ms (compile: 6ms, render: 18ms)
 GET /?timeframe=today&view=trends&persona=explorers&category=AGI+%26+Future 200 in 24ms (compile: 6ms, render: 19ms)
 GET /?timeframe=today&view=trends&persona=explorers 200 in 28ms (compile: 8ms, render: 20ms)
 GET /?timeframe=today&view=trends&persona=explorers&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 25ms (compile: 6ms, render: 18ms)
 GET /?timeframe=today&view=trends&persona=explorers&category=Demos+%26+Creativity 200 in 27ms (compile: 8ms, render: 19ms)
 GET /?timeframe=today&view=trends&persona=explorers&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 23ms (compile: 7ms, render: 16ms)
 GET /?timeframe=today&view=trends&persona=explorers&category=AGI+%26+Future 200 in 27ms (compile: 8ms, render: 19ms)
 GET /?timeframe=today&view=trends&persona=explorers 200 in 26ms (compile: 6ms, render: 20ms)
 GET /?timeframe=today&view=trends&persona=builders 200 in 25ms (compile: 5ms, render: 20ms)
 GET /?timeframe=today&view=trends&persona=builders 200 in 23ms (compile: 5ms, render: 18ms)
 GET /?timeframe=today&view=trends&persona=builders&category=Models%2CRAG+%26+Agents 200 in 22ms (compile: 5ms, render: 17ms)
 GET /?timeframe=today&view=trends&persona=builders&category=Papers 200 in 26ms (compile: 6ms, render: 20ms)
 GET /?timeframe=today&view=trends&persona=builders&category=Models%2CRAG+%26+Agents 200 in 22ms (compile: 6ms, render: 17ms)
 GET /?timeframe=today&view=trends&persona=builders 200 in 23ms (compile: 5ms, render: 18ms)
 GET /?persona=builders&timeframe=today 200 in 25ms (compile: 5ms, render: 20ms)
 GET /?persona=builders&timeframe=today 200 in 22ms (compile: 6ms, render: 17ms)
 GET /?persona=builders&timeframe=today&category=Models%2CRAG+%26+Agents 200 in 25ms (compile: 7ms, render: 18ms)
 GET /?persona=builders&timeframe=today 200 in 19ms (compile: 5ms, render: 14ms)
 GET /?persona=builders&timeframe=today&category=Models%2CRAG+%26+Agents 200 in 24ms (compile: 7ms, render: 17ms)
 GET /?persona=builders&timeframe=today&category=Papers 200 in 34ms (compile: 7ms, render: 27ms)
 GET /?persona=builders&timeframe=today&category=Open+Source 200 in 20ms (compile: 4ms, render: 15ms)
 GET /?persona=executors&timeframe=today 200 in 52ms (compile: 3ms, render: 50ms)
 GET /?persona=executors&timeframe=today&category=Markets%2CStrategy 200 in 18ms (compile: 4ms, render: 14ms)
 GET /?persona=executors&timeframe=today&category=Enterprise%2CIndustry 200 in 23ms (compile: 7ms, render: 16ms)
 GET /?persona=executors&timeframe=today&category=Compute 200 in 22ms (compile: 7ms, render: 16ms)
 GET /?persona=explorers&timeframe=today 200 in 27ms (compile: 5ms, render: 21ms)
 GET /?persona=explorers&timeframe=today&category=AGI+%26+Future 200 in 24ms (compile: 7ms, render: 18ms)
 GET /?persona=explorers&timeframe=today&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 26ms (compile: 5ms, render: 20ms)
 GET /?persona=explorers&timeframe=30d&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 20ms (compile: 4ms, render: 15ms)
 GET /?persona=builders&timeframe=30d 200 in 27ms (compile: 4ms, render: 22ms)
 GET /?persona=builders&timeframe=30d&category=Open+Source 200 in 25ms (compile: 7ms, render: 18ms)
 GET /?persona=builders&timeframe=30d&category=Papers 200 in 29ms (compile: 7ms, render: 22ms)
 GET /?persona=builders&timeframe=30d&category=Models%2CRAG+%26+Agents 200 in 24ms (compile: 6ms, render: 19ms)
 GET /?persona=builders&timeframe=30d 200 in 20ms (compile: 5ms, render: 14ms)
 GET /?persona=builders&timeframe=30d 200 in 18ms (compile: 5ms, render: 13ms)
 GET /?persona=builders&timeframe=30d 200 in 17ms (compile: 3ms, render: 14ms)
✓ Compiled in 1165ms
 GET /?persona=builders&timeframe=30d 200 in 219ms (compile: 153ms, render: 65ms)
 GET / 200 in 496ms (compile: 7ms, render: 489ms)
 GET /?timeframe=7d 200 in 89ms (compile: 31ms, render: 58ms)
 GET /?timeframe=today 200 in 84ms (compile: 27ms, render: 57ms)
 GET /?timeframe=today&persona=explorers 200 in 93ms (compile: 26ms, render: 67ms)
 GET /?timeframe=today&persona=builders 200 in 64ms (compile: 5ms, render: 59ms)
 GET /?timeframe=today&persona=builders&category=Models%2CRAG+%26+Agents 200 in 78ms (compile: 12ms, render: 66ms)
 GET /?timeframe=today&persona=builders&category=Papers 200 in 74ms (compile: 13ms, render: 61ms)
 GET /?timeframe=today&persona=builders 200 in 168ms (compile: 8ms, render: 160ms)
 GET /?timeframe=today&persona=executors 200 in 87ms (compile: 10ms, render: 77ms)
 GET /?timeframe=today&persona=builders 200 in 50ms (compile: 5ms, render: 46ms)
 GET /?timeframe=7d&persona=builders 200 in 81ms (compile: 28ms, render: 53ms)
 GET /?timeframe=30d&persona=builders 200 in 59ms (compile: 10ms, render: 48ms)
 GET /?timeframe=today&persona=builders 200 in 142ms (compile: 22ms, render: 120ms)
 GET /?timeframe=today&persona=explorers 200 in 65ms (compile: 9ms, render: 56ms)
 GET /?timeframe=today&persona=explorers 200 in 227ms (compile: 48ms, render: 179ms)
 GET /?timeframe=today&persona=explorers 200 in 60ms (compile: 7ms, render: 53ms)
 GET /?persona=builders&timeframe=today 200 in 21ms (compile: 5ms, render: 16ms)
 GET /?persona=builders&timeframe=today 200 in 17ms (compile: 3ms, render: 14ms)
 GET /?persona=builders&timeframe=7d 200 in 16ms (compile: 4ms, render: 12ms)
 GET /?persona=builders&timeframe=30d 200 in 16ms (compile: 3ms, render: 13ms)
 GET /?persona=builders&timeframe=30d&category=Models%2CRAG+%26+Agents 200 in 18ms (compile: 4ms, render: 14ms)
 GET /?persona=builders&timeframe=30d&category=Papers 200 in 18ms (compile: 5ms, render: 13ms)
 GET /?persona=builders&timeframe=30d&category=Open+Source 200 in 18ms (compile: 4ms, render: 14ms)
 GET /?persona=executors&timeframe=30d 200 in 21ms (compile: 3ms, render: 18ms)
 GET /?persona=executors&timeframe=today 200 in 17ms (compile: 4ms, render: 13ms)
 GET /?persona=executors&timeframe=today&category=Markets%2CStrategy 200 in 16ms (compile: 3ms, render: 13ms)
 GET /?persona=executors&timeframe=today&category=Enterprise%2CIndustry 200 in 18ms (compile: 4ms, render: 14ms)
 GET /?persona=executors&timeframe=today&category=Startups 200 in 14ms (compile: 3ms, render: 11ms)
 GET /?persona=executors&timeframe=today&category=Compute 200 in 17ms (compile: 3ms, render: 14ms)
 GET /?persona=explorers&timeframe=today 200 in 16ms (compile: 2ms, render: 13ms)
 GET /?persona=explorers&timeframe=today&category=AGI+%26+Future 200 in 24ms (compile: 4ms, render: 20ms)
 GET /?persona=explorers&timeframe=today&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 17ms (compile: 4ms, render: 13ms)
 GET /?persona=explorers&timeframe=today&category=Demos+%26+Creativity 200 in 17ms (compile: 3ms, render: 13ms)
 GET /?persona=explorers&timeframe=today&category=Demos+%26+Creativity 200 in 16ms (compile: 3ms, render: 13ms)
 GET /?persona=builders&timeframe=today 200 in 18ms (compile: 3ms, render: 14ms)
 GET /?persona=builders&timeframe=today 200 in 14ms (compile: 3ms, render: 10ms)
 GET /?persona=builders&timeframe=today&category=Models%2CRAG+%26+Agents 200 in 16ms (compile: 3ms, render: 13ms)
 GET /?persona=builders&timeframe=today&category=Papers 200 in 16ms (compile: 3ms, render: 12ms)
 GET /?persona=builders&timeframe=today&category=Open+Source 200 in 17ms (compile: 4ms, render: 13ms)
 GET /?persona=builders&timeframe=today 200 in 16ms (compile: 4ms, render: 12ms)
 GET /?persona=builders&timeframe=30d 200 in 16ms (compile: 3ms, render: 12ms)
 GET /?persona=builders&timeframe=30d&category=Models%2CRAG+%26+Agents 200 in 18ms (compile: 4ms, render: 14ms)
 GET /?persona=builders&timeframe=30d&category=Papers 200 in 16ms (compile: 3ms, render: 12ms)
 GET /?persona=builders&timeframe=30d&category=Open+Source 200 in 17ms (compile: 4ms, render: 14ms)
 GET /?persona=executors&timeframe=30d 200 in 15ms (compile: 3ms, render: 12ms)
 GET /?persona=executors&timeframe=30d 200 in 16ms (compile: 3ms, render: 12ms)
 GET /?persona=executors&timeframe=30d&category=Markets%2CStrategy 200 in 15ms (compile: 3ms, render: 12ms)
 GET /?persona=executors&timeframe=30d&category=Enterprise%2CIndustry 200 in 13ms (compile: 3ms, render: 10ms)
 GET /?persona=executors&timeframe=30d&category=Startups 200 in 15ms (compile: 3ms, render: 12ms)
 GET /?persona=executors&timeframe=30d&category=Compute 200 in 16ms (compile: 4ms, render: 12ms)
 GET /?persona=explorers&timeframe=30d 200 in 15ms (compile: 3ms, render: 12ms)
 GET /?persona=explorers&timeframe=30d&category=AGI+%26+Future 200 in 14ms (compile: 3ms, render: 11ms)
 GET /?persona=explorers&timeframe=30d&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 15ms (compile: 3ms, render: 12ms)
 GET /?persona=explorers&timeframe=30d&category=Demos+%26+Creativity 200 in 14ms (compile: 3ms, render: 11ms)
 GET /?persona=builders&timeframe=30d 200 in 19ms (compile: 4ms, render: 16ms)
 GET /?persona=builders&timeframe=today 200 in 18ms (compile: 4ms, render: 14ms)
 GET /?persona=builders&timeframe=today&category=Models%2CRAG+%26+Agents 200 in 16ms (compile: 4ms, render: 12ms)
 GET /?persona=builders&timeframe=today&category=Papers 200 in 17ms (compile: 4ms, render: 12ms)
 GET /?persona=builders&timeframe=today&category=Models%2CRAG+%26+Agents 200 in 17ms (compile: 4ms, render: 13ms)
 GET /?persona=builders&timeframe=today 200 in 18ms (compile: 4ms, render: 14ms)
 GET /?persona=builders&timeframe=today&category=Models%2CRAG+%26+Agents 200 in 17ms (compile: 3ms, render: 14ms)
 GET /?persona=builders&timeframe=today&category=Papers 200 in 17ms (compile: 4ms, render: 13ms)
 GET /?persona=builders&timeframe=today&category=Open+Source 200 in 17ms (compile: 4ms, render: 13ms)
 GET /?persona=builders&timeframe=today&category=Papers 200 in 17ms (compile: 4ms, render: 13ms)
 GET /?persona=builders&timeframe=today&category=Open+Source 200 in 16ms (compile: 3ms, render: 13ms)
 GET /?persona=executors&timeframe=today 200 in 15ms (compile: 3ms, render: 13ms)
 GET /?persona=executors&timeframe=today&category=Markets%2CStrategy 200 in 17ms (compile: 4ms, render: 12ms)
 GET /?persona=executors&timeframe=today 200 in 17ms (compile: 3ms, render: 14ms)
 GET /?persona=builders&timeframe=today 200 in 15ms (compile: 3ms, render: 13ms)
 GET /?persona=executors&timeframe=today 200 in 52ms (compile: 5ms, render: 47ms)
 GET /?persona=builders&timeframe=today 200 in 17ms (compile: 3ms, render: 15ms)
 GET /?persona=executors&timeframe=today 200 in 16ms (compile: 3ms, render: 13ms)
 GET /?persona=builders&timeframe=today 200 in 18ms (compile: 3ms, render: 15ms)
 GET /?persona=executors&timeframe=today 200 in 29ms (compile: 3ms, render: 26ms)
 GET /?persona=builders&timeframe=today 200 in 17ms (compile: 3ms, render: 15ms)
 GET /?persona=builders&timeframe=today 200 in 22ms (compile: 3ms, render: 19ms)
 GET /?persona=builders&timeframe=today 200 in 118ms (compile: 20ms, render: 98ms)
 GET /?persona=builders&timeframe=today&category=Models%2CRAG+%26+Agents 200 in 24ms (compile: 6ms, render: 18ms)
 GET /?persona=builders&timeframe=today&category=Papers 200 in 23ms (compile: 7ms, render: 16ms)
 GET /?persona=builders&timeframe=today&category=Open+Source 200 in 31ms (compile: 6ms, render: 25ms)
 GET /?persona=builders&timeframe=today&category=Papers 200 in 26ms (compile: 7ms, render: 19ms)
 GET /?persona=builders&timeframe=today&category=Open+Source 200 in 26ms (compile: 8ms, render: 18ms)
 GET /?persona=executors&timeframe=today 200 in 26ms (compile: 5ms, render: 21ms)
 GET /?persona=executors&timeframe=today&category=Markets%2CStrategy 200 in 26ms (compile: 6ms, render: 20ms)
 GET /?persona=executors&timeframe=today&category=Enterprise%2CIndustry 200 in 27ms (compile: 8ms, render: 19ms)
 GET /?persona=executors&timeframe=today&category=Startups 200 in 26ms (compile: 7ms, render: 18ms)
 GET /?persona=executors&timeframe=today&category=Compute 200 in 32ms (compile: 8ms, render: 24ms)
 GET /?persona=executors&timeframe=today&category=Startups 200 in 25ms (compile: 6ms, render: 20ms)
 GET /?persona=executors&timeframe=today&category=Startups 200 in 25ms (compile: 6ms, render: 20ms)
 GET /?persona=executors&timeframe=today&category=Compute 200 in 25ms (compile: 7ms, render: 18ms)
 GET /?persona=executors&timeframe=today&category=Startups 200 in 27ms (compile: 8ms, render: 20ms)
 GET /?persona=explorers&timeframe=today 200 in 26ms (compile: 5ms, render: 21ms)
 GET /?persona=explorers&timeframe=today&category=AGI+%26+Future 200 in 25ms (compile: 6ms, render: 19ms)
 GET /?persona=explorers&timeframe=today 200 in 23ms (compile: 7ms, render: 17ms)
 GET /?persona=explorers&timeframe=today&category=AGI+%26+Future 200 in 27ms (compile: 7ms, render: 20ms)
 GET /?persona=explorers&timeframe=today&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 25ms (compile: 7ms, render: 18ms)
 GET /?persona=explorers&timeframe=today&category=Demos+%26+Creativity 200 in 26ms (compile: 7ms, render: 19ms)
 GET /?persona=explorers&timeframe=today&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 28ms (compile: 9ms, render: 20ms)
 GET /?persona=explorers&timeframe=today&category=AGI+%26+Future 200 in 22ms (compile: 6ms, render: 17ms)
 GET /?persona=explorers&timeframe=today 200 in 26ms (compile: 8ms, render: 18ms)
 GET /?persona=executors&timeframe=today 200 in 26ms (compile: 6ms, render: 20ms)
 GET /?persona=executors&timeframe=today 200 in 28ms (compile: 8ms, render: 20ms)
 GET /?persona=builders&timeframe=today 200 in 25ms (compile: 7ms, render: 18ms)
